source_file,source_sheet,source_row,report_period_start,report_period_end,business_date,arrivals,departures,stayovers,projected_walk_ins,projected_cxl_no_show_rate,rooms_sold,total_comp_rooms,out_of_order_rooms,occupancy_rate_reported,room_revenue_net,adr_reported,revpar_reported,transient_rooms,group_rooms_picked_up,group_rooms_not_picked_up,group_room_revenue_net,group_adr_reported,group_non_gtd_arrivals,group_gtd_arrivals,group_comp_rooms,total_group_guests_in_house
ReservationForecast 2024.xls,ReservationForecast,202,2024-01-01,2024-12-31,2024-07-11,26,16,24,0,0.0,50,0,2,0.86,8434.49,168.6898,145.4222,37,13,0,2837.75,218.2884,0,7,0,29
ReservationForecast 2024.xls,ReservationForecast,203,2024-01-01,2024-12-31,2024-07-12,34,26,24,0,0.0,58,0,1,0.98,11437.19,197.1929,193.8506,43,15,0,3362.0,224.1333,0,8,0,35
ReservationForecast 2024.xls,ReservationForecast,204,2024-01-01,2024-12-31,2024-07-13,35,33,25,0,0.0,60,0,0,1.0,11806.01,196.7668,196.7668,44,16,0,3505.55,219.0968,0,9,0,36
ReservationForecast 2024.xls,ReservationForecast,205,2024-01-01,2024-12-31,2024-07-14,17,52,8,0,0.0,25,0,28,0.78,3381.33,135.2532,105.6665,24,1,0,208.5,208.5,0,0,0,2
ReservationForecast 2024.xls,ReservationForecast,206,2024-01-01,2024-12-31,2024-07-15,15,12,13,0,0.0,28,0,18,0.67,3694.94,131.9621,87.9747,28,0,0,0.0,0.0,0,0,0,0
ReservationForecast 2024.xls,ReservationForecast,207,2024-01-01,2024-12-31,2024-07-16,21,13,15,0,0.0,36,0,6,0.67,4570.89,126.9691,84.6461,36,0,0,0.0,0.0,0,0,0,0
ReservationForecast 2024.xls,ReservationForecast,208,2024-01-01,2024-12-31,2024-07-17,17,26,10,0,0.0,27,0,7,0.51,3741.8,138.5851,70.6,27,0,0,0.0,0.0,0,0,0,0
ReservationForecast 2024.xls,ReservationForecast,209,2024-01-01,2024-12-31,2024-07-18,24,19,8,0,0.0,32,0,5,0.58,4221.6,131.925,76.7563,31,1,0,198.0,198.0,0,1,0,2
ReservationForecast 2024.xls,ReservationForecast,210,2024-01-01,2024-12-31,2024-07-19,55,28,4,0,0.0,59,0,0,0.98,11439.97,193.8977,190.6661,40,19,0,3884.33,204.4384,0,18,0,45
ReservationForecast 2024.xls,ReservationForecast,211,2024-01-01,2024-12-31,2024-07-20,28,27,32,0,0.0,60,0,0,1.0,12192.84,203.214,203.214,26,34,0,6984.67,205.4314,0,15,0,73
ReservationForecast 2024.xls,ReservationForecast,212,2024-01-01,2024-12-31,2024-07-21,35,54,6,0,0.0,41,0,9,0.8,5250.82,128.0687,102.9572,35,6,0,1209.85,201.6416,0,2,0,12
ReservationForecast 2024.xls,ReservationForecast,213,2024-01-01,2024-12-31,2024-07-22,21,17,24,0,0.0,45,0,1,0.76,5560.01,123.5557,94.2374,45,0,0,0.0,0.0,0,0,0,0
ReservationForecast 2024.xls,ReservationForecast,214,2024-01-01,2024-12-31,2024-07-23,29,23,23,0,0.0,52,0,4,0.93,6697.82,128.8042,119.6039,52,0,0,0.0,0.0,0,0,0,0
ReservationForecast 2024.xls,ReservationForecast,215,2024-01-01,2024-12-31,2024-07-24,36,30,21,0,0.0,57,0,2,0.98,7960.74,139.6621,137.2541,57,0,0,0.0,0.0,0,0,0,0
ReservationForecast 2024.xls,ReservationForecast,216,2024-01-01,2024-12-31,2024-07-25,36,35,22,0,0.0,58,0,1,0.98,7503.74,129.3748,127.182,57,1,0,250.2,250.2,0,1,0,2
ReservationForecast 2024.xls,ReservationForecast,217,2024-01-01,2024-12-31,2024-07-26,48,47,12,0,0.0,60,0,1,,11321.01,188.6835,191.8815,44,16,0,3589.29,224.3306,0,15,0,32
ReservationForecast 2024.xls,ReservationForecast,218,2024-01-01,2024-12-31,2024-07-27,24,23,36,0,0.0,60,0,0,1.0,12359.3,205.9883,205.9883,41,19,0,4183.02,220.1589,0,3,0,38
ReservationForecast 2024.xls,ReservationForecast,219,2024-01-01,2024-12-31,2024-07-28,23,55,5,0,0.0,28,0,25,0.8,4232.8,151.1714,120.9371,27,1,0,109.0,109.0,0,1,0,1
ReservationForecast 2024.xls,ReservationForecast,220,2024-01-01,2024-12-31,2024-07-29,15,21,7,0,0.0,22,0,22,0.58,2638.07,119.9122,69.4228,21,1,0,109.0,109.0,0,0,0,1
ReservationForecast 2024.xls,ReservationForecast,221,2024-01-01,2024-12-31,2024-07-30,19,14,8,0,0.0,27,0,2,0.47,3304.63,122.3937,56.9763,26,1,0,109.0,109.0,0,0,0,1
ReservationForecast 2024.xls,ReservationForecast,222,2024-01-01,2024-12-31,2024-07-31,31,18,9,0,0.0,40,0,4,0.71,4964.13,124.1032,88.6451,39,1,0,208.5,208.5,0,1,0,2
ReservationForecast 2024.xls,ReservationForecast,223,2024-01-01,2024-12-31,2024-08-01,15,22,18,0,0.0,33,0,4,0.59,4530.5,137.2878,80.9017,30,3,0,604.5,201.5,0,2,0,6
ReservationForecast 2024.xls,ReservationForecast,224,2024-01-01,2024-12-31,2024-08-02,51,24,9,0,0.0,60,0,0,1.0,11478.61,191.3101,191.3101,34,26,0,5285.25,203.2788,0,23,0,46
ReservationForecast 2024.xls,ReservationForecast,225,2024-01-01,2024-12-31,2024-08-03,25,25,35,0,0.0,60,0,0,1.0,12486.36,208.106,208.106,18,42,0,8808.45,209.725,0,17,0,78
ReservationForecast 2024.xls,ReservationForecast,226,2024-01-01,2024-12-31,2024-08-04,19,57,3,0,0.0,22,0,29,0.71,2613.03,118.774,84.2912,21,1,0,248.2,248.2,0,0,0,1
ReservationForecast 2024.xls,ReservationForecast,227,2024-01-01,2024-12-31,2024-08-05,17,15,7,0,0.0,24,0,19,0.59,2874.0,119.75,70.0975,24,0,0,0.0,0.0,0,0,0,0
ReservationForecast 2024.xls,ReservationForecast,228,2024-01-01,2024-12-31,2024-08-06,26,20,4,0,0.0,30,0,10,0.6,3472.31,115.7436,69.4462,30,0,0,0.0,0.0,0,0,0,0
ReservationForecast 2024.xls,ReservationForecast,229,2024-01-01,2024-12-31,2024-08-07,29,23,8,0,0.0,37,0,7,0.7,4763.37,128.7397,89.8749,37,0,0,0.0,0.0,0,0,0,0
ReservationForecast 2024.xls,ReservationForecast,230,2024-01-01,2024-12-31,2024-08-08,30,25,11,0,0.0,41,0,7,0.77,4684.65,114.2597,88.3896,41,0,0,0.0,0.0,0,0,0,0
ReservationForecast 2024.xls,ReservationForecast,231,2024-01-01,2024-12-31,2024-08-09,41,26,15,0,0.0,55,1,1,0.93,9352.34,170.0425,158.5142,53,3,0,644.0,214.6666,0,3,0,5
ReservationForecast 2024.xls,ReservationForecast,232,2024-01-01,2024-12-31,2024-08-10,30,28,29,0,0.0,59,0,0,0.98,10545.38,178.7352,175.7563,51,8,0,1563.0,195.375,0,5,0,14
ReservationForecast 2024.xls,ReservationForecast,233,2024-01-01,2024-12-31,2024-08-11,19,51,7,0,0.0,26,0,21,0.67,3350.16,128.8523,85.9015,25,1,0,158.1,158.1,0,1,0,2
