business_date,guest_source_available,guest_arrivals_total,guest_arrival_checked_out,guest_arrival_cancelled,guest_arrival_no_show,guest_arrival_wait_list,guest_arrival_avg_rate,guest_arrival_median_rate,guest_arrival_avg_nights,guest_arrival_median_nights,guest_arrival_total_booked_room_nights,guest_arrival_avg_adults,guest_arrival_duplicate_source_occurrences,guest_arrival_checked_out_share,guest_arrival_cancelled_share,guest_arrival_no_show_share,guest_arrival_wait_list_share,guest_market_segment_bar_arrivals,guest_market_segment_corp_group_arrivals,guest_market_segment_corporate_arrivals,guest_market_segment_discount_arrivals,guest_market_segment_leisure_arrivals,guest_market_segment_local_corp_arrivals,guest_market_segment_missing_arrivals,guest_market_segment_negotiated_arrivals,guest_market_segment_package_arrivals,guest_market_segment_social_grp_arrivals,guest_market_segment_weddings_arrivals,guest_market_segment_wholesale_arrivals,guest_market_segment_wholesale_arrival_share,guest_market_segment_discount_arrival_share,guest_market_segment_weddings_arrival_share,guest_market_segment_bar_arrival_share,guest_market_segment_social_grp_arrival_share,guest_market_segment_corp_group_arrival_share,guest_market_segment_corporate_arrival_share,guest_market_segment_local_corp_arrival_share,guest_market_segment_negotiated_arrival_share,guest_market_segment_package_arrival_share,guest_market_segment_leisure_arrival_share,guest_market_segment_missing_arrival_share,guest_room_type_dksns_arrivals,guest_room_type_hkns_arrivals,guest_room_type_hkobns_arrivals,guest_room_type_kesns_arrivals,guest_room_type_kfns_arrivals,guest_room_type_kns_arrivals,guest_room_type_kobns_arrivals,guest_room_type_kssns_arrivals,guest_room_type_qqns_arrivals,guest_room_type_qqobns_arrivals,guest_room_type_kns_arrival_share,guest_room_type_qqns_arrival_share,guest_room_type_qqobns_arrival_share,guest_room_type_kfns_arrival_share,guest_room_type_kssns_arrival_share,guest_room_type_kobns_arrival_share,guest_room_type_kesns_arrival_share,guest_room_type_dksns_arrival_share,guest_room_type_hkns_arrival_share,guest_room_type_hkobns_arrival_share,guest_stay_room_nights_proxy,guest_stay_avg_rate,guest_stay_revenue_proxy,guest_stay_avg_adults
2025-01-16,1,1.0,1.0,0.0,0.0,0.0,109.0,109.0,2.0,2.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2,54.5,109.0,1.0
2025-01-17,1,24.0,22.0,2.0,0.0,0.0,132.167083,125.53,1.958333,2.0,47.0,2.208333,45.0,0.916667,0.083333,0.0,0.0,1.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,0.75,0.208333,0.0,0.041667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,4.0,1.0,3.0,5.0,1.0,6.0,0.041667,0.041667,0.25,0.166667,0.208333,0.125,0.083333,0.0,0.041667,0.041667,23,129.821739,2985.9,2.173913
2025-01-18,1,40.0,31.0,9.0,0.0,0.0,155.221,156.855,1.225,1.0,49.0,1.85,74.0,0.775,0.225,0.0,0.0,4.0,7.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,0.475,0.25,0.0,0.1,0.0,0.175,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,4.0,10.0,3.0,1.0,9.0,11.0,0.25,0.225,0.275,0.1,0.025,0.075,0.025,0.0,0.025,0.0,44,145.323409,6394.23,1.772727
2025-01-19,1,14.0,10.0,3.0,1.0,0.0,95.316429,100.78,1.785714,1.0,25.0,1.5,22.0,0.714286,0.214286,0.071429,0.0,4.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.428571,0.285714,0.0,0.285714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,0.0,2.0,0.0,4.0,3.0,0.0,0.285714,0.214286,0.214286,0.0,0.142857,0.142857,0.0,0.0,0.0,18,93.667778,1686.02,1.555556
2025-01-20,1,3.0,1.0,2.0,0.0,0.0,130.163333,109.0,2.666667,3.0,8.0,1.666667,4.0,0.333333,0.666667,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.333333,0.666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.333333,0.333333,0.0,0.0,0.333333,0.0,0.0,0.0,0.0,6,115.725,694.35,1.666667
2025-01-21,1,0.0,0.0,0.0,0.0,0.0,,,,,0.0,,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,3,109.396667,328.19,1.666667
2025-01-22,1,12.0,11.0,0.0,1.0,0.0,129.286667,114.57,1.5,1.0,18.0,1.25,15.0,0.916667,0.0,0.083333,0.0,2.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.583333,0.25,0.0,0.166667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,2.0,2.0,3.0,2.0,0.0,0.25,0.166667,0.166667,0.166667,0.166667,0.083333,0.0,0.0,0.0,14,123.545,1729.63,1.357143
2025-01-23,1,11.0,9.0,2.0,0.0,0.0,130.66,114.1,2.0,2.0,22.0,1.545455,18.0,0.818182,0.181818,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.727273,0.272727,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,4.0,2.0,0.090909,0.363636,0.181818,0.0,0.090909,0.0,0.090909,0.0,0.090909,0.090909,15,111.187333,1667.81,1.333333
2025-01-24,1,55.0,50.0,5.0,0.0,0.0,131.586545,122.11,1.581818,1.0,87.0,1.818182,99.0,0.909091,0.090909,0.0,0.0,3.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,39.0,0.709091,0.218182,0.0,0.054545,0.018182,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,6.0,15.0,5.0,5.0,10.0,11.0,0.272727,0.181818,0.2,0.109091,0.090909,0.090909,0.036364,0.018182,0.0,0.0,57,128.707368,7336.32,1.789474
2025-01-25,1,38.0,33.0,5.0,0.0,0.0,135.385789,122.11,1.184211,1.0,45.0,1.921053,82.0,0.868421,0.131579,0.0,0.0,1.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,0.736842,0.236842,0.0,0.026316,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,6.0,9.0,4.0,1.0,9.0,7.0,0.236842,0.236842,0.184211,0.157895,0.026316,0.105263,0.026316,0.0,0.0,0.026316,59,126.343559,7454.27,1.864407
