business_date,pricing_model,is_flagged_quality_row,data_quality_flag_type,target_rooms_sold,property_total_rooms,forecast_rooms_sold,forecast_occupancy_rate,demand_band,pricing_reference_adr,pricing_adjustment_rate,recommended_adr,historical_adr_net,recommended_vs_reference_adr_delta,recommended_vs_historical_adr_delta,historical_room_revenue_net,simulated_revenue_at_actual_rooms,forecast_revenue_at_recommended_adr,simulated_revenue_delta_at_actual_rooms,data_quality_review_note
2025-09-24,xgboost,0,,32,60,43.76911163330078,0.7294851938883463,moderately_high,121.76,0.04,126.63,121.7613,4.87,4.87,3896.36,4052.16,5542.48,155.8,
2025-09-25,xgboost,0,,39,60,44.322269439697266,0.7387044906616211,moderately_high,134.78,0.04,140.17,134.7797,5.39,5.39,5256.41,5466.63,6212.65,210.22,
2025-09-26,xgboost,0,,58,60,58.18173599243164,0.9696955998738607,very_high,186.48,0.12,208.86,186.4848,22.38,22.38,10816.12,12113.88,12151.84,1297.76,
2025-09-27,xgboost,0,,59,60,58.614532470703125,0.9769088745117187,very_high,193.28,0.12,216.47,193.281,23.19,23.19,11403.58,12771.73,12688.29,1368.15,
2025-09-28,xgboost,0,,36,60,39.44276428222656,0.6573794047037761,neutral,121.64,0.0,121.64,121.6378,0.0,0.0,4378.96,4379.04,4797.82,0.08,
2025-09-29,xgboost,0,,43,60,35.97538375854492,0.599589729309082,moderately_low,133.11,-0.04,127.79,133.1119,-5.32,-5.32,5723.81,5494.97,4597.29,-228.84,
2025-09-30,xgboost,0,,35,60,41.718711853027344,0.6953118642171224,neutral,127.26,0.0,127.26,127.2563,0.0,0.0,4453.97,4454.1,5309.12,0.13,
2025-10-01,xgboost,0,,23,60,42.96043014526367,0.7160071690877279,moderately_high,124.26,0.04,129.23,124.2591,4.97,4.97,2857.96,2972.29,5551.78,114.33,
2025-10-02,xgboost,0,,33,60,35.1791877746582,0.5863197962443034,moderately_low,161.67,-0.04,155.2,161.6691,-6.47,-6.47,5335.08,5121.6,5459.81,-213.48,
2025-10-03,xgboost,0,,60,60,58.37613296508789,0.9729355494181315,very_high,203.03,0.12,227.39,203.0305,24.36,24.36,12181.83,13643.4,13274.15,1461.57,
